id_mun,combate_hambre,combate_hambre_y_leche,beneficiarios,mun,porcentaje_pea,poblacion_pea,porc_programa_hambre,cobertura_prog_hambre,cobertura_programas,cobertura_prog_hambre_y_leche
11027,3263,3878,5160,Salamanca,4.39613,12533,0.63236433,0.26035267,0.41171306,0.30942312
11028,3295,3654,4921,Salvatierra,7.34775,5780,0.66957933,0.57006919,0.8513841,0.63217992
11029,1167,1191,1379,San Diego de la Unión,13.82188,3604,0.84626544,0.32380688,0.38263041,0.33046615
11030,6049,6105,6989,San Felipe,15.49141,14972,0.86550295,0.40402085,0.46680471,0.40776116
11031,2702,2934,4483,San Francisco del Rincón,5.20868,5776,0.60272139,0.46779779,0.77614266,0.50796402
11032,682,698,840,San José Iturbide,4.58861,3826,0.81190479,0.17825405,0.21955045,0.18243596
11033,6377,6510,7897,San Luis de la Paz,11.95653,13106,0.80752182,0.48657104,0.60254848,0.49671906
11034,86,89,94,Santa Catarina,16.45595,528,0.91489363,0.16287878,0.1780303,0.16856061
11035,2794,3390,4888,Santa Cruz de Juventino Rosas,15.33237,10190,0.57160395,0.2741904,0.47968596,0.33267909
11036,86,103,119,Santiago Maravatío,6.63492,362,0.72268909,0.23756906,0.32872927,0.2845304
11037,9116,9359,10531,Silao,10.03169,16202,0.8656348,0.56264657,0.6499815,0.57764471
11038,323,327,350,Tarandacuao,6.72008,601,0.92285717,0.53743762,0.58236271,0.54409319
11039,1035,1067,1260,Tarimoro,7.25478,2327,0.8214286,0.44477868,0.54146969,0.45853031
11040,1138,1163,1635,Tierra Blanca,20.16059,2505,0.69602448,0.4542914,0.65269458,0.46427146
11041,860,926,1183,Uriangato,6.22221,3335,0.72696537,0.25787106,0.35472265,0.27766117
11042,4045,4235,6030,Valle de Santiago,9.35477,11622,0.67081261,0.34804681,0.51884359,0.36439511
11043,395,421,576,Victoria,19.55495,2703,0.6857639,0.14613393,0.21309656,0.15575287
11044,933,951,1124,Villagrán,4.55276,2703,0.83007115,0.34517202,0.41583425,0.35183129
11045,424,439,566,Xichú,17.97487,1325,0.7491166,0.31999999,0.4271698,0.33132076
11046,3134,3242,3937,Yuriria,6.70606,4733,0.79603761,0.66215932,0.83181912,0.68497783
12001,56197,57334,60600,Acapulco de Juárez,10.97402,86211,0.92734325,0.65185416,0.70292652,0.66504276
12002,2550,2578,2806,Ahuacuotzingo,37.6534,8886,0.90876693,0.28696826,0.31577763,0.29011929
12003,4332,4384,4784,Ajuchitlán del Progreso,38.7742,14277,0.90551841,0.3034251,0.33508441,0.3070673
12004,972,984,1090,Alcozauca de Guerrero,47.24281,9161,0.89174312,0.10610195,0.11898264,0.10741185
12005,711,735,895,Alpoyeca,23.42092,1637,0.79441339,0.43433109,0.54673183,0.44899207
12006,1081,1096,1181,Apaxtla,26.60856,3216,0.915326,0.33613184,0.36722636,0.34079602
12007,1997,2091,2335,Arcelia,14.44319,3941,0.85524625,0.50672418,0.59248924,0.53057599
12008,940,951,1009,Atenango del Río,30.65994,1921,0.93161547,0.48932847,0.52524728,0.49505466
12009,1082,1100,1190,Atlamajalcingo del Monte,38.94411,1904,0.9092437,0.5682773,0.625,0.57773107
12010,2052,2068,2205,Atlixtac,45.60364,11121,0.93061227,0.18451577,0.19827354,0.1859545
12011,3519,3662,4069,Atoyac de Álvarez,23.36256,14618,0.86483163,0.24073061,0.27835545,0.25051308
12012,9553,9653,10181,Ayutla de los Libres,38.39244,24372,0.93831646,0.39196619,0.41773346,0.39606926
12013,1287,1324,1447,Azoyú,31.33155,4093,0.88942641,0.3144393,0.35353041,0.32347912
12014,988,1026,1158,Benito Juárez,18.94937,2921,0.85319519,0.33824033,0.39643958,0.35124958
12015,637,653,723,Buenavista de Cuéllar,12.21651,1925,0.88105118,0.3309091,0.37558442,0.33922079
12016,1073,1101,1227,Coahuayutla de José María Izazaga,39.66286,6145,0.87449062,0.17461351,0.19967453,0.17917006
12017,1106,1113,1176,Cocula,19.69843,2720,0.94047618,0.40661764,0.43235293,0.40919119
12018,1279,1310,1435,Copala,28.57046,4535,0.89128917,0.28202868,0.3164278,0.28886437
12019,2757,2772,2956,Copalillo,43.18311,6175,0.9326793,0.44647774,0.47870445,0.44890687
12020,2408,2418,2590,Copanatoyac,40.78513,7413,0.9297297,0.32483476,0.34938622,0.32618374
12021,6609,6784,7416,Coyuca de Benítez,24.8781,17720,0.89118123,0.37296841,0.41851017,0.38284424
12022,3010,3169,3655,Coyuca de Catalán,26.71924,10051,0.82352942,0.29947269,0.3636454,0.315292
12023,2290,2342,2707,Cuajinicuilapa,32.51653,8977,0.84595495,0.25509635,0.30154839,0.26088893
12024,734,748,825,Cualác,31.4567,2168,0.88969696,0.33856088,0.38053507,0.34501845
12025,1691,1700,1769,Cuautepec,41.85002,6263,0.95590729,0.2699984,0.28245249,0.27143541
12026,755,759,820,Cuetzala del Progreso,25.4004,2359,0.92073172,0.32005087,0.34760493,0.3217465
12027,1712,1772,1992,Cutzamala de Pinzón,17.5776,3891,0.85943776,0.43998972,0.51195067,0.45540991
12028,10623,10765,11927,Chilapa de Álvarez,28.6531,32820,0.89066821,0.32367459,0.36340645,0.32800123
12029,15834,16354,18013,Chilpancingo de los Bravo,10.6703,25975,0.87903184,0.60958612,0.69347447,0.62960541
12030,2065,2147,2309,Florencio Villarreal,28.84333,6362,0.89432657,0.32458347,0.36293617,0.3374725
12031,495,502,555,General Canuto A. Neri,28.32625,1648,0.8918919,0.30036408,0.33677185,0.30461165
12032,3916,3966,4244,General Heliodoro Castillo,29.75621,11421,0.92271441,0.34287715,0.37159619,0.34725505
12033,1309,1329,1508,Huamuxtitlán,18.98106,2501,0.86803716,0.52339065,0.6029588,0.53138745
12034,3246,3295,3652,Huitzuco de los Figueroa,19.29818,7471,0.88882804,0.43447998,0.48882344,0.44103867
12035,7178,7431,8449,Iguala de la Independencia,5.81156,7876,0.84956801,0.91137636,1.0727527,0.94349927
12036,956,975,1070,Igualapa,35.3006,3910,0.89345795,0.24450128,0.27365729,0.24936062
12037,462,480,558,Ixcateopan de Cuauhtémoc,19.78063,1078,0.82795697,0.42857143,0.51762521,0.44526902
12038,8199,8576,9465,Zihuatanejo de Azueta,9.8547,11820,0.86624408,0.69365484,0.8007614,0.72554994
12039,2395,2473,2691,Juan R. Escudero,30.13479,8093,0.89000374,0.29593477,0.33250958,0.30557272
12040,2273,2301,2477,Leonardo Bravo,34.07659,8692,0.9176423,0.26150483,0.28497469,0.26472619
12041,2189,2212,2366,Malinaltepec,38.34772,10255,0.92519021,0.21345685,0.23071672,0.21569966
12042,2437,2496,2756,Mártir de Cuilapan,35.52476,6065,0.88425255,0.40181369,0.45441055,0.41154164
12043,3174,3190,3439,Metlatónoc,48.47952,7396,0.9229427,0.42915088,0.46498108,0.43131423
12044,1124,1155,1280,Mochitlán,27.98052,3088,0.87812501,0.36398965,0.41450778,0.3740285
12045,3677,3743,4153,Olinalá,30.4068,7645,0.88538408,0.48096794,0.54323089,0.48960105
12046,5327,5461,5995,Ometepec,36.54146,22428,0.88857383,0.2375156,0.2672998,0.24349028
12047,507,511,584,Pedro Ascencio Alquisiras,23.39282,1556,0.86815071,0.32583547,0.37532133,0.32840616
12048,2875,2944,3273,Petatlán,20.47263,9500,0.87839901,0.30263159,0.34452632,0.30989474
12049,1169,1315,1428,Pilcaya,16.52852,1925,0.81862748,0.60727274,0.74181819,0.68311691
12050,2427,2564,2943,Pungarabato,9.59249,3676,0.82466871,0.66022849,0.8005985,0.69749731
12051,4037,4065,4342,Quechultenango,38.41568,13820,0.92975587,0.29211289,0.31418234,0.29413894
